Vendor,Category,SubCategory,Contract,City,State,Phone,Email,URL,Small_Business
SPORTAFLEX LLC,Industrial Products and Services,Fire/Rescue/Safety/Environmental Protection Equipment,GS-03F-067GA,MESA,AZ,4804602647,tgoodin@sportaflex.com,http://www.sportaflex.com,s
"TAYLOR DISTRIBUTOR'S, INC.",Industrial Products and Services,Packaging,GS-02F-0123V,TUCSON,AZ,520-884-5402,taydist@aol.com,http://www.taylortucson.com,s
"TRU FORCE PEST CONTROL, LLC",Industrial Products and Services,Industrial Products,47QSMS24D00B4,MESA,AZ,4806289466,NICK@TFPEST.COM,https://www.tfpest.com,s
"WIDEFIELD TECHNOLOGY, INC",Industrial Products and Services,Industrial Products,GS-07F-023CA,PINETOP,AZ,4809932204,rich@wti1.net,http://www.wti1.net,s
ASA ENVIRONMENTAL PRODUCTS INC,Industrial Products and Services,Cleaning Supplies,GS-07F-9521S,STONINGTON,CT,860-535-3931,jeff@ASA-environmental.com,http://www.asa-environmental.com,s
"BAGELA USA, LLC",Industrial Products and Services,Industrial Products,GS-30F-001BA,SHELTON,CT,2039440525,lscott@bagelausa.com,http://www.bagelausa.com,s
CONNECTICUT CONTAINER CORP.,Industrial Products and Services,Packaging,47QSMS24D0080,NORTH HAVEN,CT,631-367-3158,customerservice@govtpackaging.com,http://www.unicorr.com,s
"DESIGN SPECIALTIES, INC",Industrial Products and Services,Industrial Products,GS-07F-096GA,NORTH HAVEN,CT,2032883587,design@duralux4you.com,http://www.designspecialties.org,s
"GLOBE EQUIPMENT COMPANY INC, THE",Industrial Products and Services,Industrial Products,GS-07F-0352W,BRIDGEPORT,CT,203-220-2415,billiejo@globeequipment.com,http://www.globeequipment.com,s
"H. BARBER & SONS, INC.",Industrial Products and Services,Industrial Products,GS-30F-0038V,NAUGATUCK,CT,203-729-9000,jpb@hbarber.com,http://www.hbarber.com,s
LED LIGHTING SOLUTIONS LLC,Industrial Products and Services,Industrial Products,GS-07F-025BA,BERLIN,CT,8607706023,TOM@LLSLIGHT.COM,http://www.LLSLIGHT.COM,s
LIDO DESIGNS INC.,Industrial Products and Services,Hardware and Tools,47QSHA22D000Z,BROOKFIELD,CT,203-941-5116,kevin@lidodesigns.com,www.buyrailings.com,s
"MES SERVICE COMPANY, LLC",Industrial Products and Services,Fire/Rescue/Safety/Environmental Protection Equipment,GS-07F-0348V,SANDY HOOK,CT,757-567-4792,kchapman@mesfire.com,http://www.mesfire.com/,s
UPC LLC,Industrial Products and Services,Hardware and Tools,47QSMS24D004A,MERIDEN,CT,8602145745,pmader@upc2.com,http://www.maagkit.com,s
"VERDEK, LLC",Industrial Products and Services,Industrial Products,GS-07F-172BA,MADISON,CT,203-421-6477,gmannino@verdek.com,http://www.verdek.com,s
"ADVANCED NETWORK CONSULTING, INC.",Industrial Products and Services,Industrial Products,47QTCA21D009P,WASHINGTON,DC,202-434-8766,htrinh@ancsweb.com,http://www.ancsweb.com,s
"I.S. ENTERPRISES, INC.",Industrial Products and Services,Hardware and Tools,GS-21F-0010T,WASHINGTON,DC,202 388 6799,customerservice@isenterprises.net,http://www.isenterprises.net,s
JENKS INC,Industrial Products and Services,Hardware and Tools,47QSHA22D001Q,WASHINGTON,DC,202-529-6020,Mike@wsjenks.com,http://www.wsjenks.com,s
PATRIOT MRO SOLUTIONS L.L.C.,Industrial Products and Services,Hardware and Tools,47QSMS25D0068,WASHINGTON,DC,571-520-5899,rudy.burwell@patriot-mro.com,https://patriot-mro.com/,s
WILSON DEPENDABLE SERVICES LLC,Industrial Products and Services,Cleaning Supplies,47QSWA22D005J,WASHINGTON,DC,202-519-3593,support@wdslifesci.com,http://www.wdslifesci.com,s
BATTA ENVIRONMENTAL ASSOCIATES INC,Industrial Products and Services,Industrial Products,GS-10F-0004T,NEWARK,DE,3027373376,neeraj@battaenv.com,http://battaenv.com,s
INDEPENDENT METAL STRAP CO INC,Industrial Products and Services,Packaging,47QSEA19D008E,DOVER,DE,5166210030,amariano@indmetalstrap.com,http://www.indmetalstrap.com,s
SYNTEC CORPORATION,Industrial Products and Services,Industrial Products,47QSMS25D0070,NEW CASTLE,DE,3024218393,THERESA@SYNTEC.COM,http://www.syntec.com,s
YELLOWFIN ROOFING LLC,Facilities,Structures,47QSMS25D00BH,HOCKESSIN,DE,302-433-6655,Dan@Yellowfinco.com,https://www.gsaelibrary.gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QSMS,s
"AABACO ENVIRONMENTAL INDUSTRIES, LLC",Industrial Products and Services,Cleaning Supplies,47QSHA22D000R,JUPITER,FL,561-988-3282,dhannon@aabaco.com,http://www.aabaco.com,s
"ACCUAIR, INC.",Industrial Products and Services,Industrial Products,GS-07F-0487Y,ORLANDO,FL,3213772615,greg@accuaironline.com,http://www.accuaironline.com,s
"ADSYNC TECHNOLOGIES, INC.",Industrial Products and Services,Industrial Products,GS-21F-111BA,PENSACOLA,FL,850-497-6969,aadkinson@adsync.com,http://www.adsync.com,s
"AIR BURNERS, INC.",Industrial Products and Services,Industrial Products,47QMCA20D004T,PALM CITY,FL,772-220-7303,nfuhrmann@airburners.com,http://WWW.AIRBURNERS.COM,s
AQUALOGIX LLC,Industrial Products and Services,Industrial Products,47QSWA23D007G,PALM BEACH GARDENS,FL,858-442-4550,mrichardson@aqualogix.com,http://www.aqualogix.com,s
"AUTOMOTIVE ARMOR MANUFACTURING, INC.",Security and Protection,Protective Equipment,GS-07F-062DA,PALMETTO,FL,941-721-3335,jeff@auto-armor.com,http://www.auto-armor.com,s
"AVIAN ENTERPRISES, LLC",Industrial Products and Services,Industrial Products,47QSMS26D001P,JUPITER,FL,(888) 877 - 4355,steve@aviancontrol.com,https://aviancontrol.com,s
BERELI INC,Industrial Products and Services,Packaging,47QSWA21D0089,HOLLYWOOD,FL,786-452-2222,jordan@bereli.com,http://www.bereli.com,s
BIG TOP MANUFACTURING LLC,Facilities,Structures,GS-07F-073GA,PERRY,FL,850-584-7786,b.jarvis@bigtopshelters.com,http://bigtopshelters.com/,s
BIZOLUTIONS CONSULTING LLC,Industrial Products and Services,Cleaning Supplies,47QSMA23D08N7,THE VILLAGES,FL,239-896-2847,mvp@bizolutionsconsult.com,http://www.bizolutionsconsult.com,s
BLUE POINT USA LLC,Industrial Products and Services,Hardware and Tools,47QSMS24D00CE,ORLANDO,FL,917-995-7711,contact@bluepointsupplies.com,http://www.bluepointstores.com,s
CALDWELL CLEANING LLC,Industrial Products and Services,Cleaning Supplies,GS-07F-0570X,BRADENTON,FL,9413232932,rkcaldwell8@gmail.com,http://tinyurl.com/5ea5tauc,s
CARBONTEC WORLDWIDE LLC,Industrial Products and Services,Industrial Products,47QSWA23D003X,HALLANDALE,FL,6464084635,stan@carbontec.world,https://carbontec.world/,s
"CHAVES BROTHERS MANAGEMENT, LLC",Industrial Products and Services,Machinery and Components,47QMCA26D0002,BOCA RATON,FL,9732249955,sales@govprocurement.net,https://www.govprocurement.net,s
"CLEAN EARTH SYSTEMS, INC.",Industrial Products and Services,Packaging,47QSEA24D0005,TAMPA,FL,813-930-6831,stephp@cleanearthsystems.com,http://www.cleanearthsystems.com,s
"CONSTRUCTION SALES AND SERVICE, INC",Industrial Products and Services,Machinery and Components,GS-30F-0006Y,CRESTVIEW,FL,850-683-9186,allen.lane@csstractors.com,http://www.csstractors.com,s
DIAMONDBACK MANUFACTURING LLC,Transportation and Logistics Services,Motor Vehicles (non-Combat),GS-07F-090GA,COCOA,FL,(321) 633-5624,carlie@diamondbackairboats.com,http://www.diamondbackairboats.com,s
"DIVERSE SUPPLY, INC",Industrial Products and Services,Industrial Products,47QSWA22D006L,WEST PALM BEACH,FL,888-902-6430,sales@diversesupply.net,http://www.platformsandladders.com/,s
DOWNEAST LOGISTICS LLC,Industrial Products and Services,Cleaning Supplies,GS-35F-431GA,PORT CHARLOTTE,FL,2077300472,sherry@downeastlogistics.com,http://www.downeastlog.com,s
"ENSYNC DIVERSIFIED MANAGEMENT SERVICES, INC.",Industrial Products and Services,Industrial Products,47QSHA20D000B,LONGWOOD,FL,407-936-1515,c_mcmillon@ensyncdms.com,http://www.ensyncdms.com,s
EOLA POWER LLC,Industrial Products and Services,Industrial Products,47QSMS25D00B4,DORAL,FL,800-399-7414,alex@eolapower.com,http://www.eolapower.com/,s
"EVERY TOOL, INC",Industrial Products and Services,Hardware and Tools,47QSHA22D000P,BOCA RATON,FL,561-444-9876,gsa@every-tool.com,http://www.avenjers.com,s
"EXIT 10, INC.",Industrial Products and Services,Hardware and Tools,47QSMS25D0064,LONGWOOD,FL,4075742433,sales@southord.com,http://www.southord.com,s
FEDERAL CONTRACTS LLC,Industrial Products and Services,Cleaning Supplies,GS-03F-113DA,TAMPA,FL,813-631-0000,sales@federalcontractscorp.com,http://www.federalcontractscorp.com,s
"FLOODPROOFING.COM, INC.",Security and Protection,Protective Equipment,47QSWA24D000W,JUNO BEACH,FL,800-507-0865,rfisher@floodproofing.com,http://www.floodproofing.com,s
"GATORLAND KUBOTA EQUIPMENT COMPANY, INC.",Industrial Products and Services,Hardware and Tools,GS-21F-111AA,GAINESVILLE,FL,352-376-4506,GSA@gatorlandkubota.com,http://www.gatorlandkubota.com,s
"GEO-MED, LLC",Industrial Products and Services,Cleaning Supplies,47QSWA18D001U,LAKE MARY,FL,877-865-0400,ileana.delcastillo@geomedsdvo.com,http://www.geomedsdvo.com,s
"GLOBE TRAILER MANUFACTURING, INC",Transportation and Logistics Services,Motor Vehicles (non-Combat),47QMCA25D0015,BRADENTON,FL,941-753-2199,brian@globetrailers.com,https://www.globetrailers.com/,s
GULFSHORE MANUFACTURING INC,Transportation and Logistics Services,Motor Vehicles (non-Combat),47QSMS25D001K,INGLIS,FL,3524471330,dante@youngboats.com,http://www.youngboats.com,s
HERC RENTALS INC,Industrial Products and Services,Hardware and Tools,47QMCB19D000G,BONITA SPRINGS,FL,2393011344,richard.shugg@hercrentals.com,http://www.hercrentals.com,
"HERNON MANUFACTURING, INC.",Industrial Products and Services,Industrial Products,GS-21F-0168Y,SANFORD,FL,407-322-4000,karenarnon@hernon.com,http://www.hernon.com,s
"HYPER SPEAR, LLC",Industrial Products and Services,Industrial Products,47QRAA23D0084,WESTON,FL,(954)612-3496,sergio.bastiani@hyperspear.com,www.hyperspear.com,s
"INDUSTRIAL SHADEPORTS, INC.",Furniture & Furnishings,Fitness Solutions,47QSMS24D0023,FORT LAUDERDALE,FL,954-755-0661,gsa@shadeports.com,http://www.shadeports.com,s
"INTERNATIONAL ENERGY SAVERS OF CENTRAL FLORIDA, INC.",Industrial Products and Services,Industrial Products,47QSWA22D0023,OCALA,FL,3522450833,info@ieswindowfilms.com,http://IESWINDOWFILMS.COM,s
"JAN-SAN SUPPLY, INC.",Industrial Products and Services,Packaging,GS-02F-035GA,TAMPA,FL,813-626-3219,dan@jansansupply.biz,http://www.jansansupply.biz,s
JEMNI INC,Industrial Products and Services,Packaging,GS-02F-040GA,NAPLES,FL,612-644-4277,brandon@jemniinc.com,http://www.jemniinc.com,s
JETECHNOLOGY SOLUTIONS INC,Industrial Products and Services,Industrial Products,GS-07F-121DA,APOPKA,FL,4076731512,ALITTLE@JETECHNOLOGYSOLUTIONS.COM,http://www.jetechnologysolutions.com/.com,s
JMATT CONSTRUCTION SERVICES LLC,Professional Services,Technical and Engineering Services (non-IT),GS-21F-003GA,ORLANDO,FL,321-948-3623,sgraham@greenpathes.com,http://greenpathenergysolutions.com,s
"KINGLINE EQUIPMENT, INC.",Industrial Products and Services,Machinery and Components,47QMCA20D000X,CANTONMENT,FL,(850)937-9693,todd@kinglineequipment.com,http://www.kinglineequipment.com,s
"LAINE INDUSTRIES, INC",Industrial Products and Services,Hardware and Tools,47QSHA22D000J,LAKE CITY,FL,904-910-0139,govsales@laineindustries.com,http://www.laineindustries.com,s
LITE CART CORP,Industrial Products and Services,Industrial Products,GS-07F-0372X,LARGO,FL,727-584-7364,litecartcorp@gmail.com,http://www.litecart.com,s
LOVELL GOVERNMENT SERVICES INC.,Industrial Products and Services,Cleaning Supplies,47QSWA23D004Y,PENSACOLA,FL,850-684-1867,customerservice@lovellgov.com,http://www.lovellgov.com,s
"M.E. GLOBAL SUPPLIES, INC",Industrial Products and Services,Industrial Products,47QTCA23D0092,MIAMI,FL,786-546-7216,edgar.alz@meglobalsupplies.com,http://www.meglobalsupplies.com,s
M3 SUPPLIES & SERVICES LLC,Industrial Products and Services,Hardware and Tools,47QSMS24D006B,BRANDON,FL,813-444-4830,sales@m3ssllc.com,https://www.m3ssllc.com/,s
MAINSTREAM ENGINEERING CORP,Industrial Products and Services,Industrial Products,47QSWA22D0099,ROCKLEDGE,FL,3216313550,contracting@mainstream-engr.com,https://mainstream-engr.com/,s
"MAXA BEAM SEARCHLIGHTS, INC.",Industrial Products and Services,Industrial Products,GS-07F-066DA,JUPITER,FL,561-743-8180,francie@maxavision.net,http://www.maxavision.net,s
"MCLAREN INDUSTRIES, INC",Industrial Products and Services,Machinery and Components,GS-30F-031BA,JACKSONVILLE,FL,310-212-1333,gov@mclarenusa.com,http://www.mclarenindustries.com,s
MCNZ CORP,Industrial Products and Services,Cleaning Supplies,47QSWA23D009U,FORT MYERS,FL,2398988204,mccancem@earthlink.net,http://www.mcnzcorp.com,s
"MEDFARE, LLC",Industrial Products and Services,Industrial Products,GS-07F-278BA,BOCA RATON,FL,561-998-9444,amyl@medfare.com,http://www.medfare.com,s
"MIAMI CORDAGE, LLC.",Industrial Products and Services,Hardware and Tools,GS-07F-280BA,MIAMI,FL,3056363000,fran@miamicordage.com,http://www.miamicordage.com,s
"MILLENIUM PRODUCTS, INC",Industrial Products and Services,Industrial Products,GS-07F-0031W,SAINT PETERSBURG,FL,888-901-7430,gsa@milleniumproducts.net,http://www.milleniumproducts.net,s
MORNING STAR INDUSTRIES INC,Industrial Products and Services,Industrial Products,47QSWA20D002D,JENSEN BEACH,FL,800-440-6050,steve@morningstarusa.com,http://www.morningstarusa.com,s
NATIVE INSTINCT LLC,Industrial Products and Services,Machinery and Components,47QSWA19D00AP,BOYNTON BEACH,FL,904-438-2858,jeff@gsacontracts.us,http://www.nativeinstinct.co,s
OSC SOLUTIONS INC,Industrial Products and Services,Hardware and Tools,47QSHA18D0023,WEST PALM BEACH,FL,561-683-4090,service@oscmro.com,http://www.oscmro.com,s
PAN AMERICAN TOOL CORP,Industrial Products and Services,Hardware and Tools,47QSMS24D003M,FORT LAUDERDALE,FL,954-735-8665,curtis.finn@panamericantool.com,http://www.panamericantool.com,s
PEAK SOLUTIONS CORP,Industrial Products and Services,Cleaning Supplies,47QSWA22D006K,PALM HARBOR,FL,919-391-5993,peaksolutionswj@gmail.com,https://gopeak.net,s
PELICAN SALES INC,Industrial Products and Services,Hardware and Tools,GS-21F-0033V,MELBOURNE,FL,321-254-9569,gsa@pelican-sales.com,http://www.pelican-sales.com,s
"PIERCE SALES COMPANY, INC.",Industrial Products and Services,Industrial Products,GS-07F-020BA,ORLANDO,FL,407-679-9004,gsa@rewonline.com,http://www.rewonline.com,s
POWER KLEEN CORP,Industrial Products and Services,Industrial Products,47QSWA22D0069,OLDSMAR,FL,(813)854-2648,jlsanders@powerkleen.com,http://www.powerkleen.com,s
"PREMIER PALLETS, INC.",Industrial Products and Services,Industrial Products,47QSMS25D000L,RIVERVIEW,FL,813-986-4889,scott@premier-pallets.com,http://www.premier-pallets.com,s
PREMIER WATER & ENERGY TECHNOLOGY INC,Industrial Products and Services,Industrial Products,GS-07F-0222Y,JACKSONVILLE,FL,904-268-1152,mchrist@premierwater.com,http://www.premierwater.com,s
"PRISM CONSULTING SERVICES, INC.",Industrial Products and Services,Industrial Products,GS-07F-9609S,JACKSONVILLE,FL,904.880.9900,mkothari@prismlighting.net,http://www.prismlighting.net,s
"RELDA, LLC",Industrial Products and Services,Industrial Products,GS-07F-0402W,TAMPA,FL,813-218-5200,RMONEY@DERMATEC.NET,http://DERMATEC.NET,s
ROBOTICS FABRICATION INC.,Professional Services,Environmental Services,47QRAA23D000L,PANAMA CITY,FL,704-649-7707,michaelw@roboticsfabrication.com,http://www.roboticsfabrication.com,s
S&Y TRADING CORP OF NEW JERSEY,Industrial Products and Services,Cleaning Supplies,47QSWA22D0070,BOCA RATON,FL,(561) 395-4333,sales@sandytrading.com,http://www.sandytrading.com,s
"SANIGLAZE INTERNATIONAL, LLC",Industrial Products and Services,Cleaning Supplies,47QSMS24D004N,JACKSONVILLE,FL,800-874-5554,michele.y@saniglaze.com,http://www.saniglaze.com,s
SANTA FE POWER SOLUTIONS INC,Industrial Products and Services,Industrial Products,47QSWA22D004E,BRANFORD,FL,813-842-3502,barb@santafepower.net,http://www.santafepower.net,s
"SCAFFOLDS USA, INC.",Industrial Products and Services,Industrial Products,47QSMS24D000D,MOUNT DORA,FL,(352)577-9640,peter@scaffoldusa.com,www.scaffoldusa.com,s
"SHERWOOD AVIONICS AND ACCESSORIES, INC.",Industrial Products and Services,Machinery and Components,47QSMS24D0053,OPA LOCKA,FL,(305)794-5959,arelis@sherwoodaviation.com,http://www.sherwoodaviation.com/,s
"SHORT AND SIMPLE SUPPLIES, INC.",Industrial Products and Services,Cleaning Supplies,47QSMS24D008U,TAMPA,FL,813-972-4142,Carlee@shortandsimplesupplies.com,https://www.shortandsimplesupplies.com/,s
SOUTH DADE AIR CONDITIONING & REFRIGERATION INC,Industrial Products and Services,Industrial Products,47QSHA18D001B,HOMESTEAD,FL,850-341-8548,PATTI@SDAC8A.COM,http://www.sdac8a.com,s
"SPOTLESS WATER SYSTEMS, LLC",Industrial Products and Services,Cleaning Supplies,47QSMS25D0097,PUNTA GORDA,FL,8585309993,todd@crspotless.com,http://crspotless.com,s
SPS INDUSTRIAL INC,Industrial Products and Services,Hardware and Tools,47QSMS24D005B,STUART,FL,321251-8156,GSASales@spsindustrial.com,http://www.spsindustrial.com,s
"SRI GROUP, LLC",Industrial Products and Services,Industrial Products,GS-35F-250GA,NEWBERRY,FL,202-351-9495,jwh@srigrpllc.com,http://www.srigrpllc.com/,s
STERILE SERVICES CO,Industrial Products and Services,Cleaning Supplies,47QSEA19D0002,MIAMI,FL,800-977-7974,carter@ssc1.com,http://www.mysterileservices.com,s
SUPPLIES NOW INC,Industrial Products and Services,Hardware and Tools,47QSEA23D0044,GREENACRES,FL,888-750-5223,jcheatham@suppliesnow.com,http://www.suppliesnowgsa.com/,s
TAPESOUTH INC,Industrial Products and Services,Industrial Products,GS-07F-0480T,GAINESVILLE,FL,904-642-1800,missy@tapesouth.com,http://www.tapesouth.com,s
"TL SERVICES, INC.",Industrial Products and Services,Cleaning Supplies,GS-21F-0185W,RIVERVIEW,FL,813-641-2730,julia.pringle@tlservices.com,http://www.tlservices.com,s
VENERGY GROUP LLC,Industrial Products and Services,Hardware and Tools,GS-21F-054BA,FORT PIERCE,FL,561-906-6026,gsa@venergygroup.com,https://venergygroup.com/,s
"VERATICS, INC.",Industrial Products and Services,Hardware and Tools,GS-35F-301GA,MELBOURNE BEACH,FL,321-432-2320,info@veratics.com,www.veratics.com,s
"WALKER MILLER EQUIPMENT COMPANY, INC.",Industrial Products and Services,Industrial Products,GS-07F-245AA,ORLANDO,FL,407-299-2620,connie@walkermiller.com,http://www.walkermiller.com,s
AMERICAN PEST MANAGEMENT INC,Industrial Products and Services,Industrial Products,47QSHA19D0047,FULTON,MD,301-891-2600,dwade@americanpest.net,http://www.americanpest.net,
"AMERICAN VETERANS GROUP, LLC",Industrial Products and Services,Packaging,GS-07F-0515X,RIVA,MD,800-412-9994,am.vet@hotmail.com,http://americanveteransgroup.com,s
"AUTOMATED BUSINESS POWER, INC.",Industrial Products and Services,Industrial Products,47QSWA20D008R,GAITHERSBURG,MD,301-977-5570,daniel@abp.com,http://www.abp.com,s
BEST PLUMBING SPECIALTIES INC,Industrial Products and Services,Industrial Products,47QSMS24D008R,MYERSVILLE,MD,800-448-6710,MMAHER@BESTPLUMBINGONLINE.COM,https://www.bestplumbingspecialties.com/,s
BETTER ENGINEERING MANUFACTURING INC,Industrial Products and Services,Industrial Products,GS-07F-0369Y,JOPPA,MD,4109310000,chris.sikorski@betterengineering.com,http://www.betterengineering.com,s
"BLUE STEEL PARTNERS, LLC",Information Technology,IT Services,47QRAA26D000U,CALVERTON,MD,(301)383-8112,lthawkins@steelpoint-llc.com,,s
"BLUESTEEL CYBERSECURITY, LLC",Information Technology,IT Services,47QTCA23D000B,GLENWOOD,MD,3015314254,ali@bluesteelcyber.com,http://www.bluesteelcyber.com,s
CAPITAL LIGHTING & SUPPLY LLC,Industrial Products and Services,Industrial Products,47QSWA22D0006,UPPER MARLBORO,MD,301-988-0417,kim.palmer@capitalelectricsupply.com,http://capitalelectricsupply.com,
CENTRAL TRUCK CENTER INC,Industrial Products and Services,Industrial Products,GS-30F-0045V,DUNDALK,MD,(800) 492-0709,Mtolentino@allroadstrucks.com,https://www.allroadstrucks.com/,s
"CHOICECOMM, LLC",Industrial Products and Services,Industrial Products,47QTCA25D00BW,MOUNT AIRY,MD,301-831-0063,office@choicecomm.com,http://www.choicecomm.com,s
CREATIVE SIGN SERVICE INC,Industrial Products and Services,Fire/Rescue/Safety/Environmental Protection Equipment,47QSMA20D08NH,BELTSVILLE,MD,301-345-3700,CREATIVE@CREATIVESIGNAGE.COM,http://WWW.CREATIVESIGNAGE.COM,s
"DIVERSIFIED SERVICES GROUP, INC.",Industrial Products and Services,Industrial Products,GS-21F-0184X,GERMANTOWN,MD,301-322-6100,gbrome@dsginconline.com,http://www.diversifiedservicesgroupinc.com,s
"FASTENERS RX, INC",Industrial Products and Services,Hardware and Tools,GS-21F-0102U,CHESTER,MD,4102538052,aubrey@fastenersrxinc.com,http://www.fastenersrxinc.com,s
"FEDERAL RESOURCES SUPPLY COMPANY, LLC",Industrial Products and Services,Machinery and Components,47QSMS26D002W,STEVENSVILLE,MD,(410)630-8502,mgood@Noble.com,https://www.noble.com/,s
FIRST EQUIPMENT INC,Industrial Products and Services,Cleaning Supplies,GS-07F-0461W,LANDOVER,MD,301-773-4340,dsegal@1stequipment.com,http://www.1stequipment.com,s
"GAITHERSBURG FARMERS SUPPLY, INC.",Industrial Products and Services,Hardware and Tools,47QSMA20D08NA,GAITHERSBURG,MD,(301)670-9300,rich@rippeonequipment.com,http://www.rippeonequipment.com,s
"GARRETT CONTAINER SYSTEMS, INC.",Industrial Products and Services,Packaging,GS-02F-109BA,ACCIDENT,MD,301-746-8970,sales@garrettcontainer.com,http://www.garrettcontainer.com or https://www.gcswarrior.com,s
INTERNATIONAL CHEMSTAR INCORPORATED,Industrial Products and Services,Industrial Products,47QSWA21D006P,MIDDLE RIVER,MD,410-391-7516,jwood@chemstarwater.com,http://www.chemstarwater.com,s
"J'S ASSOCIATES, LLC",Industrial Products and Services,Industrial Products,47QSHA19D003J,DUNKIRK,MD,3013275164,contracts@jsassociatesllc.com,http://www.jsassociatesllc.com,s
"K2 CONSTRUCTION CONSULTANTS, INC",Information Technology,IT Services,47QTCA23D0012,BETHESDA,MD,703-304-4418,BNeiswender@k2consulting.com,http://www.k2consulting.com,s
LG CONSTRUCTION INC,Facilities,Facilities Maintenance and Repair,47QSHA21D002H,PERRYVILLE,MD,4109371259,lgcimike@gmail.com,http://www.lgci-md.com,s
"MACIA CONSTRUCTION, INCORPORATED",Facilities,Facilities Maintenance and Repair,47QSHA19D0027,ACCOKEEK,MD,301-283-0633,rm@maciaconstruction.com,http://www.maciaconstruction.com,s
"MARYLAND INDUSTRIAL TRUCKS, INCORPORATED",Industrial Products and Services,Industrial Products,47QMCA18D000E,LINTHICUM HEIGHTS,MD,443-386-5590,trockstroh@mdindustrialtrucks.com,http://www.mdindustrialtrucks.com,s
ORKIN LLC,Industrial Products and Services,Industrial Products,47QSHA20D0004,HALETHORPE,MD,4432778072,jhauf@regionalpestmgt.com,http://www.regionalpestmanagement.com,s
PARTSMASTER INC,Industrial Products and Services,Machinery and Components,47QMCA24D000Q,BALTIMORE,MD,4436040233,hsmithiii@partsmasterusa.com,http://www.partsmasterusa.com,s
"PIRAEUS INTERNATIONAL, INC",Industrial Products and Services,Industrial Products,47QSMA23D08NR,BALTIMORE,MD,410-675-4696,abouloubassis@piraeusintl.com,http://www.piraeusintl.com,s
